molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm,logS
PNU179397;674288-83-6,0,0,0,0,1,4,0,-2,357.343,7.348,655.709,224.566,196.059,201.539,33.546,1115.19,1,8.5,0.0484186,0.0129631,0.7931456,37.832,11.38,19.424,14.995,1.088,-4.553,-4.396,-4.466,82.913,-1.673,88.097,-4.039,9.43,1.32,1,-0.532,3,59.234,33.546,27.394,121.631,8,0,16,0,16,2,26,-4.5530853
PNU0177064,1,0,0,0,1,4,0,-2,355.328,15.271,623.117,181.574,223.683,185.942,31.918,1073.924,1,9.5,0.2171481,0.0152459,0.8139128,36.032,11.064,21.823,15.554,0.217,-4.55,-3.933,-4.055,50.442,-1.85,44.967,-4.603,9.33,1.484,2,-0.821,3,51.704,31.918,21.598,129.767,8,0,17,0,17,2,26,-4.55
heptane,11,0,0,0,0,4,0,2,100.203,0.019,367.304,367.304,0,0,0,559.908,0,0,0.0000006,0,0.894438,13.685,3.274,3.03,-1.822,4.66,-4.53,-4.507,-3.24,9906.038,0.928,5899.293,0.618,11.367,-3.164,0,0.074,3,100,0,0,0,0,0,0,0,0,0,7,-4.53
trovafloxacin147059-72-1,0,1,0,1,0,2,0,-1,416.359,9.322,633.675,134.294,211.39,188.745,99.246,1140.511,2,6,0.0761976,0.0133906,0.8331016,40.008,11.441,21.283,12.399,1.059,-4.53,-5.096,-4.051,6.191,-0.946,9.989,-6.621,8.601,1.264,1,0.289,2,43.82,99.246,0,113.96,7,0,22,3,19,5,30,-4.53
phenazopyridine94-78-0,1,0,0,0,0,4,1,-2,213.241,4.21,459.044,0,151.241,307.803,0,738.152,4,4,0.0240157,0.0174275,0.860481,23.758,9.068,16.04,12.862,1.05,-2.306,-2.048,-5.257,364.488,-1.039,166.181,-2.839,7.687,1.093,3,-0.462,3,69.249,0,0,82.749,5,0,12,0,12,0,16,-4.53
trifluoperazine,2,2,0,0,0,4,0,2,407.496,3.221,684.138,291.592,9.921,233.247,149.378,1224.305,0,4.5,0.0084728,0,0.808999,42.502,10.84,16.694,6.622,5.03,-4.523,-4.528,-7.187,496.153,1.385,1868.082,-4.622,7.84,0.777,7,0.799,2,89.125,113.399,0,13.895,3,0,20,0,20,4,28,-4.523
flurbiprofen,0,0,0,1,0,3,0,-1,244.265,1.516,480.017,74.862,92.731,279.933,32.491,810.607,1,2,0.0028348,0.0041665,0.8758883,27.034,8.408,11.366,6.193,4.16,-4.49,-4.015,-3.068,331.23,-0.343,287.138,-1.954,9.188,0.62,1,0.144,3,82.955,32.491,0,48.361,2,0,12,0,12,0,18,-4.49
PNU0181944,0,0,0,0,1,3,0,0,366.45,8.515,646.504,386.514,97.182,89.129,73.68,1144.6,1,6.5,0.0633464,0.0100541,0.81852,38.578,10.544,18.478,11.475,2.83,-4.48,-4.442,-3.519,778.647,-0.404,1507.663,-2.709,8.866,0.364,2,0.004,3,84.167,26.512,22.988,77.417,5,0,17,0,17,7,25,-4.48
trans-1;4-dimethylcyclohexane,11,0,0,0,0,0,0,2,112.214,0,346.092,346.092,0,0,0,545.237,0,0,0,0,0.9326043,15.666,3.501,3.931,-0.76,3.748,-4.47,-4.355,-2.623,9906.038,0.885,5899.293,0.518,11.257,-3.308,0,0.201,3,100,0,0,0,0,0,6,0,6,6,8,-4.47
amitriptyline,2,1,0,0,0,3,0,2,277.408,1.283,564.548,258.851,6.515,299.182,0,1011.404,0,2,0.0016281,0,0.8631394,35.253,9.811,12.229,4.465,5.04,-4.46,-3.743,-5.899,2142.987,0.723,1247.448,-2.36,8.99,0.058,4,0.892,3,100,0,0,6.002,1,0,15,0,12,2,21,-4.46
triclosan3380-34-5,2,0,0,0,0,3,0,1,289.545,2.312,488.671,0,50.866,227.662,210.144,801.687,1,1.25,0.006665,0.002558,0.8540529,26.177,9.219,11.242,4.897,4.76,-4.46,-5.401,-4.979,3262.424,0.433,10000,-1.367,8.94,0.486,1,0.41,3,100,0,0,28.676,2,0,12,0,12,0,17,-4.46
haloperidol,0,1,0,0,0,6,0,1,375.87,3.196,678.285,204.809,75.032,279.819,118.625,1194.349,1,4.75,0.0085502,0.007003,0.8026142,40.464,12.26,17.714,8.627,4.3,-4.43,-4.835,-6.787,480.032,0.115,1105.469,-3.403,9.369,0.761,3,0.679,3,84.935,46.994,0,50.084,3,0,18,0,18,5,26,-4.43
progesterone,0,0,0,0,0,1,1,0,314.467,3.749,563.822,445.092,89.525,29.205,0,1051.867,0,4,0.013363,0,0.8871499,35.579,8.957,13.716,5.603,3.87,-4.43,-4.882,-3.497,1402.593,-0.255,713.125,-2.971,9.709,0.466,3,0.559,3,94.545,0,0,54.038,2,0,17,0,17,14,23,-4.43
PNU184421;380382-50-3,0,0,0,0,1,4,0,-2,354.34,8.341,635.768,176.556,210.459,218.315,30.438,1089.459,1,8.5,0.063859,0.0133697,0.8053918,36.963,11.359,19.458,15.724,0.846,-4.403,-4.327,-4.348,52.622,-1.766,60.303,-4.245,9.337,1.419,1,-0.589,3,54.964,30.438,35.044,119.936,7,0,17,0,17,2,26,-4.4032921
prochlorperazine58-38-8,2,2,0,0,0,4,0,2,373.943,2.393,659.365,288.667,10.216,254.188,106.294,1172.723,0,4.5,0.004883,0,0.8156485,40.637,11.725,15.826,6.692,4.88,-4.4,-3.696,-7.18,492.97,1.278,1077.364,-4.554,7.613,0.531,7,0.649,2,86.823,0,0,14.132,3,0,20,0,20,4,25,-4.4
PNU182945,0,1,0,0,0,4,0,1,395.469,4.762,687.086,313.998,137.434,112.991,122.662,1180.894,2,9,0.0192036,0.0185245,0.786372,39.616,11.898,21.365,14.031,1.96,-4.362,-3.422,-6.254,122.888,-0.46,266.71,-5.333,8.774,1.659,3,-0.097,3,66.061,30.616,0,102.156,7,0,16,0,16,2,26,-4.3929925
PNU0174365,0,0,0,0,1,2,0,-1,350.367,10.359,609.097,274.722,154.051,117.911,62.412,1045.305,1,8,0.1026586,0.0131342,0.8177884,35.521,10.047,19.035,13.713,0.843,-4.225,-3.443,-3.668,222.06,-0.94,341.72,-3.751,9.116,1.503,2,-0.509,3,69.059,30.654,23.689,106.523,7,0,16,0,16,2,24,-4.37
buprenorphine52485-79-7,0,1,0,0,0,9,0,1,467.647,2.428,699.817,547.321,65.31,87.186,0,1380.026,2,5,0.0042704,0.0101042,0.856588,44.128,12.49,19.771,8.309,4.835,-4.383,-6.717,-4.994,593.56,-0.174,311.438,-3.615,8.687,0.051,7,0.973,2,84.02,0,0,51.477,5,0,21,3,18,12,34,-4.37
flufenamicacid,1,0,0,1,0,3,0,-1,281.234,3.326,486.477,0.746,103.177,265.196,117.358,820.815,1,1.5,0.0134757,0.0030834,0.8714978,27.301,7.904,11.775,5.717,5.25,-4.36,-5.099,-3.069,263.677,-0.235,654.519,-2.199,8.802,0.715,3,0.26,3,83.727,117.358,0,57.844,3,0,12,0,12,0,20,-4.36
PNU0172794,1,0,0,0,1,3,0,-2,445.47,14.843,734.978,314.503,232.523,123.635,64.317,1303.469,1,11,0.1690249,0.0149664,0.7851596,45.265,13.254,25.283,17.659,0.961,-4.548,-5.372,-4.224,36.839,-1.974,54.926,-5.081,8.464,1.495,1,-0.525,3,54.343,26.475,28.213,137.195,10,0,22,0,22,6,31,-4.35
PNU179962;220010-41-3,0,0,0,0,1,7,1,-2,421.445,5.57,747.235,325.109,245.447,109.24,67.439,1287.233,2,10.7,0.0241029,0.0202508,0.7658536,41.91,13.313,23.24,18.532,0.841,-4.252,-3.893,-4.467,24.148,-2.483,42.111,-4.986,9.251,1.64,3,-0.617,2,45.711,34.109,35.86,153.447,9,0,16,0,16,2,29,-4.3237109
PNU184470,1,0,0,0,0,2,0,-1,415.497,4.999,671.97,342.962,149.732,86.499,92.777,1193.587,1,10.5,0.0209359,0.0156257,0.8098124,41.155,11.484,21.323,14.341,1.781,-4.32,-4.535,-5.022,376.695,-0.852,554.977,-3.782,8.894,0.992,0,-0.318,3,75.505,27.868,0,103.2,7,0,18,0,11,8,27,-4.32
Biphenyl,7,0,0,0,0,1,0,1,154.211,0,385.442,0,0,385.442,0,612.298,0,0,0,0,0.9047214,21.389,6.658,6.476,2.702,4.09,-4.31,-4.418,-4.912,9906.038,0.192,5899.293,-0.066,8.888,0.366,0,0.353,3,100,0,0,0,0,0,12,0,12,0,12,-4.31
PNU179399;216868-72-3,2,0,0,0,0,2,0,-2,401.47,14.139,628.291,225.902,213.849,79.569,108.972,1113.992,3,10,0.1794646,0.0275676,0.8271648,37.904,11.568,25.429,17.068,0.53,-4.36,-4.247,-4.708,92.89,-1.373,149.897,-4.988,9.01,2.443,2,-0.267,3,62.394,37.216,0,118.976,7,0,17,0,17,8,26,-4.3026231
promazine,0,1,0,0,0,4,0,2,284.418,2.131,556.968,202.887,8.386,317.072,28.623,968.488,0,2.5,0.0046888,0,0.8499579,33.065,9.695,11.867,4.863,4.55,-4.301,-3.67,-6.198,2057.187,0.714,1712.539,-2.236,8.039,0.303,5,0.591,3,96.461,0,0,9.472,2,0,14,0,14,0,20,-4.301
PNU179398,1,0,0,0,0,2,0,-2,385.471,12.531,631.29,242.992,181.633,91.424,115.241,1112.227,3,10,0.1411847,0.0274367,0.8223666,37.946,11.596,24.79,19.439,0.482,-4.1,-2.599,-4.842,7.473,-1.065,347.02,-4.353,8.83,0.717,3,-0.277,2,46.195,26.326,0,106.461,6,0,17,0,17,7,25,-4.2849617
2-methyl-nevirapine,0,0,0,0,0,0,0,0,280.329,3.332,538.719,294.753,65.49,178.476,0,929.572,1,5,0.0119443,0.0092813,0.8550502,32.752,8.785,14.717,9.065,2.792,-4.272,-3.693,-4.729,2370.602,-0.034,1257.558,-2.098,8.176,0.811,5,0.197,3,95.521,0,0,56.631,5,0,18,3,12,3,21,-4.272
trans-1;2-dimethylcyclohexane,11,0,0,0,0,0,0,2,112.214,0.011,341.115,341.115,0,0,0,539.302,0,0,0.0000002,0,0.939331,15.429,3.51,3.86,-0.887,3.692,-4.27,-4.293,-2.514,9906.038,0.875,5899.293,0.477,11.208,-3.279,0,0.184,3,100,0,0,0,0,0,6,0,6,6,8,-4.27
promethazine60-87-7,2,1,0,0,0,3,0,2,284.418,2.731,536.151,203.996,4.678,292.749,34.729,943.912,0,2.5,0.007904,0,0.8679586,32.491,9.373,11.766,4.845,4.81,-4.26,-3.67,-5.791,2230.71,0.825,2018.84,-2.349,7.521,0.36,6,0.562,3,100,0,0,8.125,2,0,14,0,14,0,20,-4.26
imipramine,2,1,0,0,0,4,0,2,280.412,1.505,571.682,284.026,6.272,281.384,0,1015.744,0,2.5,0.0022298,0,0.8548048,34.615,9.698,12.194,4.632,4.42,-4.19,-3.571,-5.949,2154.392,0.664,1254.626,-2.322,8.12,-0.221,6,0.728,3,100,0,0,6.637,2,0,15,0,12,2,21,-4.19
naprosyn22204-53-1,0,0,0,1,0,3,0,-1,230.263,3.794,472.358,178.966,93.91,199.482,0,789.717,1,2.75,0.0182288,0.0058219,0.874732,25.429,7.842,11.128,6.363,3.18,-4.16,-3.401,-2.703,322.813,-0.436,185.363,-2.26,8.49,0.761,2,-0.046,3,79.689,0,0,56.693,3,0,10,0,10,0,17,-4.16
piroxicam,1,0,0,0,0,3,0,-2,331.345,8.624,549.818,59.542,159.67,330.31,0.296,955.299,1,7.75,0.0778534,0.0140956,0.8531765,33.305,10.766,17.914,12.812,1.98,-4.16,-3.754,-5.483,303.213,-1.079,136.71,-3.011,8.554,1.888,3,-0.383,3,70.742,0,0,102.812,7,0,16,0,16,1,23,-4.16
perphenazine,1,2,0,0,0,7,0,2,403.969,3.682,695.253,279.377,62.163,246.267,107.445,1247.516,1,6.2,0.0108691,0.0089176,0.8060956,41.629,12.991,18.76,9.555,4.2,-4.155,-3.684,-7.296,158.564,0.565,320.782,-5.251,7.679,0.518,8,0.486,2,72.272,0,0,36.432,4,0,20,0,20,4,27,-4.155
cyclooctaneD4d,12,0,0,0,0,0,0,2,112.214,0.054,330.747,330.747,0,0,0,526.055,0,0,0.0000056,0,0.9528482,14.899,3.518,3.697,-1.142,4.45,-4.15,-4.156,-2.295,9906.038,0.854,5899.293,0.386,10.914,-3.468,0,0.145,3,100,0,0,0,0,0,8,0,0,8,8,-4.15
fluphenazine,0,2,0,0,0,7,0,2,437.522,4.533,725.104,285.299,55.4,235.76,148.645,1303.306,1,6.2,0.0157651,0.0085505,0.7957849,43.761,12.146,19.7,9.524,4.36,-4.15,-4.483,-7.413,183.798,0.72,632.743,-5.163,7.984,0.937,8,0.632,2,75.834,115.564,0,34.562,4,0,20,0,20,4,30,-4.15
PNU184148;273376-78-6,0,0,0,0,1,5,1,-2,436.5,10.321,727.837,413.629,160.925,81.62,71.662,1303.377,2,11.2,0.0817229,0.021762,0.7928256,43.576,12.6,24.638,18.596,1.339,-4.135,-4.03,-3.899,155.247,-1.269,326.498,-3.718,8.902,1.153,1,-0.554,3,63.448,34.178,35.028,113.873,8,0,20,3,17,9,30,-4.1348343
methotrexate59-05-2,4,0,0,2,0,11,0,-2,454.444,1.681,768.298,154.098,434.687,179.514,0,1349.02,6.25,11.75,0.0020939,0.0382339,0.7685068,42.485,16.682,30.499,24.047,-1.85,-4.145,-4.187,-2.519,0.048,-5.006,0.017,-7.842,8.416,0.951,5,-0.895,1,0,0,0,234.818,13,2,16,0,16,0,33,-4.1
methotrexate59-05-2,4,0,0,2,0,11,0,-2,454.444,1.681,768.298,154.098,434.687,179.514,0,1349.02,6.25,11.75,0.0020939,0.0382339,0.7685068,42.485,16.682,30.499,24.047,-1.85,-4.145,-4.187,-2.519,0.048,-5.006,0.017,-7.842,8.416,0.951,5,-0.895,1,0,0,0,234.818,13,2,16,0,16,0,33,-4.1
testosterone,0,0,0,0,0,1,0,0,288.429,3.921,520.511,394.62,96.711,29.179,0,959.458,1,3.7,0.0160226,0.0071084,0.9038286,31.88,8.469,13.801,6.717,3.32,-4.09,-4.398,-3.227,1198.919,-0.286,601.884,-3.103,9.704,0.459,3,0.495,3,91.146,0,0,50.303,2,0,17,0,17,14,21,-4.09
triazolam;28911-01-5,0,0,0,0,0,0,0,1,343.215,8.985,566.094,125.482,69.103,243.109,128.4,987.365,0,3,0.081764,0,0.8470873,35.682,10.48,14.916,6.205,4.572,-5.934,-6.088,-5.166,2190.757,0.237,5832.662,-1.937,9.378,1.431,2,0.682,3,100,0,0,48.476,4,0,20,0,17,1,23,-4.09
mefenamicacid61-68-7,2,0,0,1,0,3,0,-1,241.289,0.72,486.606,135.39,90.365,260.85,0,828.823,1,1.5,0.0006251,0.0030826,0.8769249,27.58,8.656,11.06,5.56,3.69,-4.08,-4.133,-2.96,348.791,-0.401,201.537,-1.978,8.011,0.53,5,0.283,3,84.181,0,0,55.469,3,0,12,0,12,0,18,-4.08
PNU0184593,1,0,0,0,0,2,0,-1,337.411,8.65,588.091,252.003,131.29,93.129,111.669,1005.561,1,8,0.074406,0.0136033,0.8253904,33.694,10.093,18.118,11.603,1.889,-4.081,-3.79,-4.801,563.479,-0.568,1088.43,-3.419,8.864,0.957,0,-0.282,3,78.789,0,0,94.954,6,0,14,0,14,2,22,-4.08
diethylstilbestrol,2,0,0,0,0,7,0,-1,268.355,0.019,540.347,187.762,109.399,243.186,0,945.765,2,1.5,0.0000004,0.0039258,0.8623451,29.523,9.965,13.103,6.28,5.07,-4.07,-4.513,-4.919,908.795,-0.839,446.125,-2.007,8.91,-0.231,4,0.466,3,84.821,0,0,45.055,2,0,12,0,12,0,20,-4.07
PNU182347;220010-55-9,1,1,0,0,0,4,0,-1,381.442,7.548,657.558,232.086,183.767,112.227,129.477,1119.947,3,8.5,0.0508743,0.0223896,0.7931635,37.17,11.833,22.405,15.244,1.382,-4.041,-3.159,-6.14,44.682,-0.909,97.378,-6.19,8.785,1.704,4,-0.158,3,56.368,34.129,0,115.031,7,0,16,0,16,2,25,-4.0629146
PNU179450,0,0,0,0,1,3,0,-1,350.367,10.713,594.201,208.326,152.978,163.771,69.127,1039.338,1,8,0.1104241,0.0134635,0.8350959,35.078,10.379,19.116,13.574,1.933,-3.87,-3.443,-3.607,238.229,-0.91,381.466,-3.474,9.187,1.57,2,-0.555,3,68.547,30.651,21.133,104.331,7,0,16,0,16,2,24,-4.0004552
(R)-limonene,7,0,0,0,0,1,0,2,136.236,0.448,389.183,327.131,0,62.053,0,626.194,0,0,0.0003202,0,0.9095294,18.857,4.57,5.08,-0.226,4.029,-4,-4.334,-3.292,9906.038,0.847,5899.293,-1.205,9.343,-1.03,5,0.393,3,100,0,0,0,0,0,6,0,6,4,10,-4
terbutyrne886-50-0,1,0,0,0,0,5,0,0,241.354,4.169,532.612,423.918,41.194,20.934,46.566,882.175,2,4,0.0196975,0.010621,0.8352003,26.14,7.505,13.039,7.206,3.74,-4,-3.036,-4.298,4029.561,-0.017,4014.68,-1.725,8.8,0.461,0,-0.012,3,93.188,0,0,51.657,5,0,6,0,6,0,16,-4
pericyazine2622-26-6,1,1,0,0,0,6,0,1,365.492,5.957,660.721,235.287,123.987,266.999,34.449,1174.551,1,5.7,0.0302146,0.0086269,0.8148196,39.549,12.356,18.053,9.736,3.52,-3.98,-5.191,-6.528,164.83,-0.56,120.406,-4.351,7.859,0.867,7,0.438,2,71.938,0,0,56.223,4,0,20,0,20,5,26,-3.98
PNU0184227,1,0,0,0,1,4,0,-2,372.355,12.779,637.283,179.008,234.502,191.567,32.206,1111.572,3,9.5,0.1469004,0.0258197,0.8143123,37.592,12,24.389,18.891,0.265,-3.847,-3.157,-4.076,37.331,-1.956,34.961,-4.782,9.052,1.027,2,-0.622,2,49.857,32.206,25.132,144.071,8,0,17,0,17,2,27,-3.97
diphenylether,5,0,0,0,0,2,0,0,170.21,1.401,401.075,0,0,401.075,0,642.61,0,0.5,0.0030554,0,0.8979206,22.109,7.029,7.019,3.464,4.21,-3.96,-4.196,-5.096,9906.038,-0.037,5899.293,0.085,9.004,0.009,0,0.265,3,100,0,0,7.476,1,0,12,0,12,0,13,-3.96
estrone,0,0,0,0,0,1,0,0,270.371,2.4,504.737,294.191,98.188,112.358,0,902.769,1,2.75,0.0063804,0.0054484,0.8949891,30.406,8.488,12.738,6.319,3.13,-3.96,-4.346,-3.767,1160.857,-0.314,581.257,-2.837,8.916,-0.194,4,0.512,3,91.426,0,0,49.506,2,0,17,0,17,10,20,-3.96
Oxazepam,0,0,0,0,0,1,0,0,286.717,6.354,514.79,19.366,133.555,290.559,71.309,863.811,2,5.2,0.0467448,0.0142853,0.8520812,30.548,10.117,16.802,11.698,2.24,-3.952,-3.629,-5.311,536.29,-0.548,620.148,-2.861,9.365,1.168,1,-0.058,3,80.828,0,0,78.078,4,0,17,0,12,1,20,-3.952
ethinylestradiol57-63-6,1,0,0,0,0,3,0,-1,296.408,2.095,542.85,304.882,89.274,148.694,0,976.96,2.5,1.5,0.0044935,0.004369,0.8771422,32.438,9.632,14.848,7.122,3.94,-4.668,-5.042,-4.229,1410.323,-0.391,717.374,-2.353,8.82,-0.286,4,0.653,3,93.487,0,0,42.065,2,0,17,0,17,11,22,-3.95
uricacid69-93-2,3,0,0,0,0,0,0,-2,168.112,3.661,304.775,0,291.682,13.093,0,462.404,3.25,4.75,0.028981,0.0280967,0.9488552,12.476,5.665,11.997,11.964,-1.538,-1.224,-1.18,-2.422,16.978,-1.596,6.04,-6.849,9.01,0.741,0,-0.692,2,40.163,0,0,145.817,7,0,9,0,9,0,12,-3.93
phenytoin,0,0,0,0,0,0,0,0,252.272,3.982,453.498,0,114.021,339.477,0,783.982,2,3.5,0.020221,0.0109146,0.9066936,28.463,9.361,14.585,10.272,2.47,-3.9,-3.448,-4.661,821.557,-0.361,400.022,-2.425,9.832,0.299,2,0.061,3,85.422,0,0,79.079,4,0,17,0,17,1,19,-3.9
PNU184147;273376-76-4,0,0,0,0,1,5,0,-2,424.489,6.328,734.325,403.488,157.892,87.074,85.872,1302.38,2,11.2,0.0307495,0.0215697,0.7854197,43.588,12.744,23.973,18.487,1.406,-3.895,-3.761,-4.045,172.002,-1.234,419.582,-3.643,8.56,0.933,2,-0.565,3,64.468,33.402,33.05,115.66,8,0,17,0,17,6,29,-3.8954727
Naproxen,0,0,0,1,0,3,0,-1,230.263,3.833,455.949,167.372,93,195.576,0,773.104,1,2.75,0.0190053,0.0060314,0.8934584,24.727,7.768,10.927,6.291,3.34,-3.89,-3.401,-2.381,329.29,-0.394,189.386,-2.257,8.522,0.738,2,-0.085,3,79.366,0,0,56.558,3,0,10,0,10,0,17,-3.89
warfarin,0,0,0,0,0,5,2,-1,308.333,10.887,554.117,100.056,106.166,347.895,0,973.512,1,5.25,0.1217575,0.0094745,0.8572829,32.918,10.702,16.744,9.674,2.7,-3.89,-4.242,-5.5,975.278,-0.701,481.503,-1.771,9.253,1.361,4,0.054,3,83.383,0,0,80.866,4,0,16,0,16,0,23,-3.89
pindolol,0,1,0,0,0,7,0,0,248.324,4.289,542.481,249.125,70.029,223.327,0,908.349,3,3.95,0.0202534,0.0126117,0.8361465,27.836,9.303,15.248,9.76,1.75,-2.517,-1.801,-5.975,535.444,-0.128,278.613,-3.414,8.204,0.027,3,-0.106,3,73.488,0,0,52.291,4,0,9,0,9,0,18,-3.88
fenclofenac,0,0,0,1,0,4,0,-1,297.137,2.737,516.07,36.467,95.461,252.401,131.742,873.255,1,2.5,0.0085764,0.0048443,0.8561511,28.636,9.893,12.66,6.418,4.8,-3.854,-5.085,-3.256,312.066,-0.223,941.481,-2.006,9.119,0.473,1,0.179,3,83.722,0,0,56.262,3,0,12,0,12,0,19,-3.854
aldosterone,0,0,0,0,0,5,1,-2,360.449,4.858,564.681,348.665,187.375,28.641,0,1075.75,2,9.4,0.0219391,0.0235418,0.8991582,33.961,10.36,19.488,13.633,1.08,-3.85,-3.693,-3.3,165.585,-1.283,70.828,-4.392,9.851,0.6,5,-0.334,3,61.898,0,0,116.023,5,0,17,0,17,14,26,-3.85
PNU173335,0,0,0,0,0,2,0,-1,354.398,10.744,588.049,261.395,140.395,84.814,101.446,1029.699,3,8.7,0.1121121,0.0256251,0.838606,34.58,10.287,22.264,15.224,1.019,-3.936,-3.704,-4.548,461.887,-0.639,771.742,-3.616,8.774,0.651,2,-0.248,3,75.713,33.839,0,100.759,7,0,17,0,17,6,24,-3.85
PNU184249;273376-85-5,1,0,0,0,1,3,0,-1,394.463,13.24,673.68,364.652,147.569,80.328,81.131,1205.948,1,9.5,0.1453606,0.0141016,0.8133241,40.949,11.375,22.323,15.922,1.619,-3.848,-3.831,-3.561,195.305,-0.905,504.262,-3.668,8.83,1.169,1,-0.444,3,68.927,33.917,38.416,102.472,7,0,17,0,17,6,27,-3.8478182
hexane,13,0,0,0,0,3,0,2,86.177,0,334.393,334.393,0,0,0,499.391,0,0,0,0,0.9103355,11.905,2.757,2.473,-1.677,3.9,-3.84,-3.879,-2.983,9906.038,0.862,5899.293,0.202,11.375,-3.24,0,-0.06,3,100,0,0,0,0,0,0,0,0,0,6,-3.84
fluvastatin,0,0,0,1,0,9,0,-2,411.472,4.528,715.095,226.241,168.068,273.798,46.988,1300.19,2,4.4,0.0157675,0.0087017,0.8056363,42.715,13.591,19.908,9.74,5.273,-6.271,-6.827,-4.175,63.931,-1.59,58.252,-2.788,8.139,0.556,3,0.68,1,62.251,46.988,0,90.574,5,1,15,0,15,0,30,-3.83
phenylbutazone50-33-9,0,0,0,0,0,9,1,0,308.379,5.028,569.076,287.761,71.352,209.964,0,1011.056,1,5,0.0250025,0.0087862,0.856074,30.535,9.84,13.924,7.406,3.16,-3.81,-4.344,-4.862,2085.768,-0.628,1095.062,-1.231,8.888,1.256,1,0.03,3,85.418,0,0,57.361,4,0,11,0,11,1,23,-3.81
diuron,1,0,0,0,1,1,0,2,233.097,6.704,449.189,161.015,41.284,117.291,129.599,725.18,1,2,0.061976,0.0044525,0.869028,23.346,7.103,10.885,6.81,2.68,-3.8,-3.105,-2.836,2658.098,0.457,10000,-1.771,8.691,0.234,0,-0.168,3,94.443,0,22.593,37.068,3,0,6,0,6,0,14,-3.8
ketoconazole,1,0,0,0,1,5,1,-1,531.438,6.68,853.689,330.974,83.211,319.571,119.933,1562.805,0,8.25,0.0285537,0,0.7629016,56.231,16.674,24.014,14.155,4.35,-6.631,-7.521,-5.518,850.457,-0.397,3757.339,-1.447,8.962,0.628,1,0.414,1,75.923,0,34.819,69.92,8,2,28,0,28,7,36,-3.8
nifedipine,0,0,0,0,0,3,2,-1,346.339,4.474,596.382,323.748,125.674,146.96,0,1067.375,0,4.5,0.0187523,0,0.846939,36.04,10.062,14.396,6.78,3.17,-3.79,-5.426,-4.71,636.992,-0.785,303.838,-3.03,8.456,0.87,6,0.385,3,85.329,0,0,112.665,8,0,12,0,12,1,25,-3.79
ciprofloxacin85721-33-1,1,1,0,1,0,1,0,0,331.346,11.265,574.159,291.569,178.366,69.486,34.738,1009.966,1,6,0.1256578,0.0104501,0.847885,34.286,9.343,17.874,9.953,0.28,-4.033,-3.265,-3.243,12.734,-0.667,9.653,-6.529,8.697,0.981,0,0.01,2,46.111,34.738,0,99.075,6,0,19,3,16,7,24,-3.79
PNU0184827,0,1,0,0,0,4,0,1,409.496,11.076,704.121,348.185,124.842,111.21,119.884,1227.699,2,9,0.0999166,0.0180763,0.7874911,41.472,12.232,23.059,13.973,2.32,-3.933,-3.74,-6.227,161.779,-0.327,346.651,-5.107,8.865,1.681,3,0.019,3,69.653,30.639,0,100.501,7,0,16,0,16,2,27,-3.79
benzydamine642-72-8,0,1,0,0,0,7,0,1,309.41,4.116,622.977,278.849,17.19,326.938,0,1092.101,0,3,0.0155121,0,0.8232562,36.179,10.766,13.132,4.97,4.67,-4.093,-4.043,-6.677,1697.422,0.371,969.628,-2.075,8.6,0.405,3,0.689,3,93.177,0,0,29.776,4,0,15,0,15,0,23,-3.78
betamethasone378-44-9,0,0,0,0,0,5,0,-2,392.466,8.007,599.243,336.604,166.657,81.339,14.643,1132.264,3,8.15,0.0566202,0.0235567,0.8767195,36.725,11.145,21.717,14.172,1.831,-3.641,-4.74,-3.915,260.311,-1.147,138.926,-3.824,10.057,0.486,4,-0.02,3,69.445,14.643,0,102.699,5,0,17,0,17,12,28,-3.77
ibuprofen,0,0,0,1,0,4,0,-1,206.284,2.932,457.86,267.323,92.541,97.996,0,777.774,1,2,0.0110492,0.0043681,0.8933078,23.34,7.122,9.734,4.669,3.5,-3.76,-3.115,-1.918,332.606,-0.451,191.448,-2.496,9.513,-0.082,2,0.015,3,79.14,0,0,48.326,2,0,6,0,6,0,15,-3.76
metolazone17560-51-9,0,0,0,0,0,2,0,-1,365.834,10.266,575.638,137.031,169.696,212.969,55.941,1018.68,3,8.5,0.103452,0.0255759,0.8505656,35.363,11.459,22.477,16.052,1.29,-3.76,-4.024,-4.966,243.596,-0.984,217.699,-3.705,9.273,0.923,2,-0.228,3,70.351,0,0,99.999,6,0,16,0,16,1,24,-3.76
diazepam(Valium),0,0,0,0,0,0,0,1,284.744,4.901,527.634,123.302,60.358,272.373,71.601,898.883,0,4,0.0267173,0,0.8536921,32.42,9.379,13.281,7.217,2.99,-3.754,-4.146,-5.198,2651.715,0.187,3502.374,-1.672,9.16,1.01,1,0.157,3,100,0,0,47.338,3,0,17,0,12,1,20,-3.754
