molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm
"Thenalidine",2,1,0,0,0,4,0,2,286.434,0.000,559.368,238.236,5.511,269.479,46.143,979.197,0.000,3.000,0.0000000,0.0000000,0.8525383,33.039,9.576,11.913,5.025,4.149,-3.577,-3.474,-5.929,2190.468,0.784,2286.016,-2.350,0.000,0.000,4,0.488,3,100.000,0.000,0.000,6.577,2,0,17,0,17,5,20
"Triprolidine",0,1,0,0,0,4,0,2,278.396,0.000,600.039,294.905,12.819,292.315,0.000,1030.032,0.000,3.000,0.0000000,0.0000000,0.8220269,35.291,9.884,12.354,5.311,4.281,-4.146,-3.275,-6.532,1867.393,0.594,1074.988,-2.405,0.000,0.000,4,0.636,3,100.000,0.000,0.000,14.249,2,0,17,0,17,4,21
"Desloratadine",0,1,0,0,0,0,0,2,310.825,0.000,556.580,222.573,37.448,224.941,71.619,984.469,1.000,2.500,0.0000000,0.0044917,0.8598820,35.393,9.970,14.524,6.796,4.150,-4.595,-4.207,-5.598,1090.638,0.800,1483.492,-3.480,0.000,0.000,5,0.817,3,100.000,0.000,0.000,24.392,2,0,21,0,18,6,22
"Trimeprazine",2,1,0,0,0,4,0,2,298.445,0.000,559.004,230.976,1.443,293.761,32.824,1002.695,0.000,2.500,0.0000000,0.0000000,0.8666877,34.211,9.899,12.180,4.664,4.551,-3.774,-4.018,-5.816,2393.979,0.789,2127.278,-2.190,0.000,0.000,5,0.690,3,100.000,0.000,0.000,6.024,2,0,14,0,14,0,21
"Pheniprazine",2,2,0,0,0,4,1,2,150.223,0.000,390.543,123.426,74.002,193.115,0.000,619.696,3.000,1.500,0.0000000,0.0066525,0.9000817,17.922,6.542,10.078,7.465,0.663,0.797,0.910,-5.522,122.444,0.510,62.557,-5.944,0.000,0.000,1,-0.420,3,92.482,0.000,0.000,40.533,2,0,6,0,6,0,11
"Phenoxybenzamine",1,1,0,0,0,7,0,0,303.831,0.000,604.454,153.661,0.000,377.795,72.999,1055.841,0.000,2.750,0.0000000,0.0000000,0.8295970,35.214,11.175,12.456,4.934,5.557,-4.191,-4.191,-6.817,2470.586,-0.758,3653.326,-1.579,0.000,0.000,3,0.650,3,100.000,0.000,0.000,7.218,2,1,12,0,12,0,21
"Methimazole",8,0,0,0,0,1,1,2,114.165,0.000,292.326,84.537,29.224,105.699,72.866,428.481,0.800,1.500,0.0000000,0.0045895,0.9402697,11.361,3.936,5.071,3.794,1.523,-1.264,-1.202,-3.003,5233.237,0.462,7420.168,-1.590,0.000,0.000,1,-0.531,3,100.000,0.000,0.000,16.480,2,0,5,0,5,0,7
"Gepefrine",1,1,0,0,0,4,0,0,151.208,0.000,382.652,135.130,97.006,150.516,0.000,603.926,3.000,1.750,0.0000000,0.0079213,0.9029909,16.884,6.262,10.150,7.559,0.812,-0.268,-0.273,-4.546,297.091,-0.072,147.396,-4.456,0.000,0.000,4,-0.478,3,84.233,0.000,0.000,45.943,2,0,6,0,6,0,11
"Heptaminol",1,1,0,0,0,6,0,0,145.244,0.000,405.744,323.247,82.497,0.000,0.000,649.669,3.000,1.750,0.0000000,0.0074704,0.8940755,15.993,5.506,9.248,6.051,1.015,-0.335,-0.148,-3.972,407.834,-0.088,207.591,-4.526,0.000,0.000,3,-0.449,3,78.106,0.000,0.000,43.986,2,0,0,0,0,0,10
"Butibufen",0,0,0,1,0,5,0,-1,220.311,0.000,506.590,313.508,86.150,106.932,0.000,856.246,1.000,2.000,0.0000000,0.0039480,0.8608105,25.924,7.725,10.793,4.583,3.827,-3.949,-3.445,-2.487,382.417,-0.513,222.618,-2.251,0.000,0.000,2,0.182,3,74.172,0.000,0.000,47.066,2,0,6,0,6,0,16
"Flurbiprofen",0,0,0,1,0,3,0,-1,244.265,0.000,491.588,85.499,94.117,279.441,32.531,821.053,1.000,2.000,0.0000000,0.0040684,0.8626037,27.447,8.442,11.954,6.227,3.874,-4.144,-4.015,-3.280,321.357,-0.381,278.039,-1.982,0.000,0.000,1,0.170,3,83.276,32.531,0.000,48.196,2,0,12,0,12,0,18
"Ibuprofen",0,0,0,1,0,4,0,-1,206.284,0.000,463.559,263.691,93.548,106.321,0.000,787.480,1.000,2.000,0.0000000,0.0043144,0.8896506,23.808,7.259,10.396,4.746,3.343,-3.333,-3.115,-2.017,325.378,-0.466,186.955,-2.485,0.000,0.000,2,0.040,3,72.355,0.000,0.000,48.482,2,0,6,0,6,0,15
"Nabumetone",0,0,0,0,0,4,1,0,228.290,0.000,502.457,243.254,47.950,211.253,0.000,841.145,0.000,2.750,0.0000000,0.0000000,0.8576564,26.958,7.796,9.905,4.518,3.359,-3.648,-3.363,-4.843,3476.865,-0.112,1902.436,-1.275,0.000,0.000,3,0.154,3,100.000,0.000,0.000,36.854,2,0,10,0,10,0,17
"Clomiphene",2,1,0,0,0,10,0,2,405.966,0.000,755.225,264.749,2.928,436.369,51.178,1363.876,0.000,2.750,0.0000000,0.0000000,0.7875390,46.175,14.440,16.078,5.046,7.013,-6.464,-6.559,-7.777,2317.551,0.453,2589.038,-1.139,0.000,0.000,2,1.417,2,100.000,0.000,0.000,11.347,2,1,18,0,18,0,29
"Tiadenol",1,0,0,0,0,17,0,-2,294.510,0.000,701.477,520.231,112.833,0.000,68.413,1166.149,2.000,4.400,0.0000000,0.0088706,0.7638136,29.600,10.873,13.520,5.712,4.034,-4.820,-4.093,-5.354,843.142,-1.583,975.043,-1.967,0.000,0.000,2,0.120,3,70.816,0.000,0.000,46.135,2,0,0,0,0,0,18
"Halofantrine",4,1,0,0,0,11,0,2,500.430,0.000,852.934,401.094,34.655,165.919,251.267,1523.429,1.000,3.700,0.0000000,0.0043380,0.7506966,49.335,14.552,19.464,5.907,7.711,-8.560,-8.296,-7.083,1159.225,0.506,10000.000,-2.580,0.000,0.000,2,1.587,2,100.000,117.165,0.000,23.201,2,2,14,0,14,0,33
"Lumefantrine",4,1,0,0,0,12,0,2,528.948,0.000,903.541,379.029,24.436,290.731,209.344,1671.138,1.000,3.700,0.0000000,0.0040950,0.7537470,55.796,17.997,21.797,6.573,8.720,-9.149,-8.992,-7.629,1449.004,0.466,10000.000,-1.856,0.000,0.000,3,1.963,2,100.000,0.000,0.000,21.153,2,2,19,0,19,0,35
"Amfetaminil",0,1,0,0,0,6,0,1,250.343,0.000,525.391,117.068,65.335,342.988,0.000,912.664,1.000,3.000,0.0000000,0.0057100,0.8660765,29.794,9.826,12.699,6.857,3.164,-3.575,-3.569,-6.061,593.233,0.020,311.253,-3.002,0.000,0.000,4,0.273,3,100.000,0.000,0.000,37.297,2,0,12,0,12,0,19
"Exemestane",0,0,0,0,0,1,0,0,296.408,0.000,535.559,327.720,103.012,104.828,0.000,978.379,0.000,4.000,0.0000000,0.0000000,0.8899439,33.360,8.923,14.154,6.141,3.140,-4.109,-4.435,-3.813,1044.813,-0.364,518.714,-2.953,0.000,0.000,3,0.346,3,79.872,0.000,0.000,56.781,2,0,17,0,17,10,22
"Mepitiostane",5,0,0,0,0,3,2,2,404.650,0.000,669.454,614.798,0.000,0.000,54.656,1287.295,0.000,2.000,0.0000000,0.0000000,0.8548624,43.437,10.540,15.281,2.658,5.551,-9.497,-9.497,-3.880,9906.038,0.509,10000.000,-1.231,0.000,0.000,0,1.693,2,100.000,0.000,0.000,12.286,2,1,23,3,20,22,28
"Bexarotene",1,0,0,1,0,3,0,-1,348.484,0.000,637.732,387.240,106.479,144.012,0.000,1178.260,1.000,2.000,0.0000000,0.0031361,0.8459689,40.449,11.164,16.723,5.731,5.795,-6.679,-6.531,-2.904,245.334,-0.609,137.780,-2.687,0.000,0.000,1,1.166,2,71.655,0.000,0.000,50.252,2,1,16,0,16,4,26
"Calusterone",0,0,0,0,0,1,0,0,316.483,0.000,549.868,434.630,89.373,25.866,0.000,1039.121,1.000,2.750,0.0000000,0.0050012,0.9022990,35.037,9.109,15.191,5.779,4.069,-5.133,-5.448,-3.236,1407.261,-0.229,715.691,-2.980,0.000,0.000,3,0.889,3,78.106,0.000,0.000,48.592,2,0,17,0,17,14,23
"Mechlorethamine",3,0,0,0,0,2,0,2,172.054,0.000,366.212,201.724,17.752,0.000,146.736,571.043,0.000,3.000,0.0000000,0.0000000,0.9089604,15.415,4.697,6.149,3.286,1.997,0.100,0.154,-3.005,6722.963,0.660,10000.000,-1.655,0.000,0.000,0,-0.612,3,93.665,0.000,0.000,13.176,2,0,0,0,0,0,9
"Toremifene",3,1,0,0,0,9,0,2,405.966,0.000,754.742,267.310,6.355,407.777,73.300,1362.236,0.000,2.750,0.0000000,0.0000000,0.7874106,46.478,14.404,16.357,5.102,7.029,-6.714,-6.559,-7.643,2150.477,0.531,3156.447,-1.399,0.000,0.000,3,1.455,2,100.000,0.000,0.000,13.631,2,1,18,0,18,0,29
"Diethazine",2,1,0,0,0,5,0,2,298.445,0.000,566.415,245.740,0.019,283.847,36.808,1009.341,0.000,2.500,0.0000000,0.0000000,0.8591233,33.740,9.884,11.874,4.386,4.608,-3.769,-4.018,-5.891,2469.536,0.751,2313.328,-2.103,0.000,0.000,5,0.667,3,100.000,0.000,0.000,5.712,2,0,14,0,14,0,21
"Pergolide",0,1,0,0,0,4,0,2,314.488,0.000,610.535,365.728,29.821,179.683,35.304,1075.693,1.000,2.500,0.0000000,0.0040948,0.8315982,36.043,10.144,13.988,5.671,4.589,-4.769,-4.295,-5.840,1288.280,0.520,1123.393,-3.115,0.000,0.000,4,0.895,3,100.000,0.000,0.000,19.142,2,0,16,0,16,6,22
"Tilbroquinol",1,0,0,0,0,1,0,1,238.083,0.000,389.048,78.726,58.535,178.991,72.797,626.231,1.000,1.750,0.0000000,0.0044982,0.9098812,19.975,6.551,8.968,5.264,2.510,-2.876,-3.962,-3.844,2759.399,0.210,3711.924,-1.872,0.000,0.000,3,-0.064,3,95.297,0.000,0.000,31.886,2,0,10,0,10,0,13
"Chlorpromazine",1,1,0,0,0,4,0,2,318.863,0.000,577.399,214.749,6.213,248.746,107.690,1009.116,0.000,2.500,0.0000000,0.0000000,0.8426556,34.038,10.128,12.254,4.461,4.793,-4.449,-4.524,-5.990,2157.138,0.927,4886.983,-2.436,0.000,0.000,5,0.709,3,100.000,0.000,0.000,8.040,2,0,14,0,14,0,21
"Melperone",0,1,0,0,0,5,0,1,263.354,0.000,569.782,323.595,42.051,157.146,46.991,969.545,0.000,4.000,0.0000000,0.0000000,0.8314471,30.937,8.253,11.780,5.299,3.218,-3.092,-2.409,-5.735,986.341,0.370,975.415,-3.323,0.000,0.000,2,0.150,3,100.000,46.991,0.000,31.880,2,0,12,0,12,5,19
"Penfluridol",4,1,0,0,0,7,0,2,523.972,0.000,837.905,198.798,29.653,350.589,258.865,1517.287,1.000,2.750,0.0000000,0.0032820,0.7621059,53.421,14.565,21.094,7.042,8.366,-9.351,-9.290,-7.779,1293.005,0.835,10000.000,-2.222,0.000,0.000,4,1.947,2,100.000,202.459,0.000,22.956,2,2,24,0,24,5,36
"Promazine",1,1,0,0,0,4,0,2,284.418,0.000,553.876,214.723,6.303,296.437,36.413,965.324,0.000,2.500,0.0000000,0.0000000,0.8528410,32.741,9.569,11.562,4.704,4.291,-3.692,-3.670,-6.053,2152.940,0.753,1984.587,-2.270,0.000,0.000,5,0.582,3,100.000,0.000,0.000,8.062,2,0,14,0,14,0,20
"Thioridazine",1,1,0,0,0,4,0,2,370.570,0.000,636.901,316.475,3.746,238.218,78.462,1171.023,0.000,3.000,0.0000000,0.0000000,0.8436003,40.417,11.361,14.800,4.998,5.499,-5.187,-5.559,-5.925,2276.563,0.878,3582.807,-2.428,0.000,0.000,5,1.045,3,100.000,0.000,0.000,7.220,2,1,20,0,20,5,25
"Triflupromazine",1,1,0,0,0,4,0,2,352.417,0.000,591.100,207.377,6.306,234.848,142.570,1055.821,0.000,2.500,0.0000000,0.0000000,0.8483288,35.774,9.302,13.154,4.412,5.214,-4.860,-5.355,-5.832,2152.804,1.012,7571.235,-2.487,0.000,0.000,5,0.844,3,100.000,106.133,0.000,8.071,2,1,14,0,14,0,24
"Zotepine",1,1,0,0,0,4,0,2,331.859,0.000,570.383,218.913,0.612,252.952,97.906,1024.670,0.000,2.750,0.0000000,0.0000000,0.8617638,34.701,10.255,12.703,4.677,4.779,-4.142,-4.723,-5.701,2437.808,0.956,4930.140,-2.318,0.000,0.000,1,0.687,3,100.000,0.000,0.000,12.938,2,0,15,0,12,0,22
"Broxyquinoline",1,0,0,0,0,1,0,1,302.953,0.000,388.785,0.000,58.632,189.090,141.062,621.887,1.000,1.750,0.0000000,0.0045012,0.9062821,19.898,7.025,9.268,5.357,2.754,-3.169,-5.526,-3.950,2753.521,0.373,8761.050,-1.838,0.000,0.000,2,-0.077,3,95.918,0.000,0.000,31.915,2,0,10,0,10,0,13
"Butinoline",0,1,0,0,0,6,0,1,291.392,0.000,589.116,217.444,34.359,337.313,0.000,1039.226,1.000,2.750,0.0000000,0.0046680,0.8422429,34.805,10.708,13.761,6.515,4.273,-3.810,-3.640,-6.419,1166.734,0.277,646.574,-2.451,0.000,0.000,5,0.662,3,100.000,0.000,0.000,24.654,2,0,17,0,17,4,22
"Dextrofemine",1,1,0,0,0,7,0,2,269.386,0.000,588.316,203.516,0.903,383.896,0.000,1019.048,1.000,2.250,0.0000000,0.0038245,0.8324365,33.800,10.584,12.502,5.889,4.634,-3.809,-3.311,-6.800,2422.328,0.531,1424.099,-1.574,0.000,0.000,3,0.658,3,100.000,0.000,0.000,14.167,2,0,12,0,12,0,20
"Benproperine",2,1,0,0,0,6,0,1,309.450,0.000,676.555,288.094,0.000,388.461,0.000,1167.775,0.000,2.750,0.0000000,0.0000000,0.7926866,40.438,11.826,13.680,5.375,5.804,-5.402,-5.402,-7.465,2470.586,-0.488,1454.789,-1.638,0.000,0.000,3,1.018,3,100.000,0.000,0.000,5.610,2,1,18,0,18,5,23
"Clobutinol",0,1,0,0,0,6,0,2,255.787,0.000,521.642,295.214,21.193,133.616,71.619,905.509,1.000,2.750,0.0000000,0.0052718,0.8677351,27.508,8.482,11.115,4.902,3.553,-2.904,-2.794,-5.036,1555.337,0.589,2177.208,-2.926,0.000,0.000,3,0.300,3,100.000,0.000,0.000,20.446,2,0,6,0,6,0,17
"Clofedanol",0,1,0,0,0,6,0,2,289.804,0.000,548.045,173.859,23.856,299.525,50.806,963.318,1.000,2.750,0.0000000,0.0050178,0.8607199,31.406,10.054,12.681,6.105,4.016,-3.288,-3.602,-5.940,1467.497,0.510,1572.508,-2.391,0.000,0.000,4,0.457,3,100.000,0.000,0.000,20.889,2,0,12,0,12,0,20
"Cloperastine",1,1,0,0,0,6,0,0,329.869,0.000,606.030,261.901,0.000,272.513,71.616,1098.785,0.000,3.700,0.0000000,0.0000000,0.8497272,36.569,10.867,13.572,5.377,4.792,-3.880,-3.880,-5.989,2470.586,-0.975,3590.133,-2.046,0.000,0.000,4,0.563,3,100.000,0.000,0.000,9.031,2,0,18,0,18,5,23
"Dextromethorphan",1,1,0,0,0,1,0,2,271.402,0.000,511.790,427.003,4.182,80.605,0.000,918.469,0.000,2.750,0.0000000,0.0000000,0.8928592,30.731,7.510,10.927,4.016,3.486,-3.093,-3.224,-4.376,2254.974,0.867,1318.056,-3.279,0.000,0.000,4,0.506,3,100.000,0.000,0.000,13.232,2,0,17,0,17,10,20
"Isoaminile",0,1,0,0,0,6,0,1,244.379,0.000,513.871,304.374,48.226,161.271,0.000,921.254,0.000,3.500,0.0000000,0.0000000,0.8910389,28.402,8.406,11.016,4.505,2.929,-2.926,-3.185,-4.790,861.927,0.195,466.102,-3.327,0.000,0.000,2,0.101,3,96.642,0.000,0.000,26.932,2,0,6,0,6,0,18
"Nepinalone",0,1,0,0,0,3,0,2,271.402,0.000,554.238,379.268,30.893,144.078,0.000,981.191,0.000,4.000,0.0000000,0.0000000,0.8615970,32.563,8.597,12.365,5.521,3.176,-2.918,-2.608,-5.185,1258.478,0.504,701.699,-3.356,0.000,0.000,4,0.269,3,100.000,0.000,0.000,27.518,2,0,16,0,16,8,20
"Normethadone",0,1,0,0,0,7,0,1,295.424,0.000,594.209,258.402,22.774,313.033,0.000,1063.977,0.000,4.000,0.0000000,0.0000000,0.8482305,34.921,10.478,13.079,5.829,3.970,-3.024,-3.204,-6.207,1502.560,0.329,849.892,-2.227,0.000,0.000,4,0.340,3,100.000,0.000,0.000,24.628,2,0,12,0,12,0,22
"Gefarnate",7,0,0,0,0,14,1,-1,400.643,0.000,957.624,860.782,50.821,46.021,0.000,1681.053,0.000,2.000,0.0000000,0.0000000,0.7139883,52.572,15.330,16.851,1.564,8.990,-11.038,-8.004,-6.379,3265.617,-0.945,1777.811,-0.950,0.000,0.000,16,2.369,2,88.658,0.000,0.000,36.348,2,1,0,0,0,0,29
"Medazepam",0,0,0,0,0,0,0,2,270.761,0.000,520.308,161.115,15.571,271.997,71.626,887.077,0.000,2.000,0.0000000,0.0000000,0.8581142,31.944,8.964,11.499,4.922,4.592,-5.342,-4.785,-5.125,7050.789,0.598,10000.000,-0.848,0.000,0.000,1,0.658,3,100.000,0.000,0.000,21.240,2,0,17,0,12,2,19
"Pipradrol",0,1,0,0,0,4,0,2,267.370,0.000,531.665,174.807,26.791,330.067,0.000,931.699,2.000,2.250,0.0000000,0.0059849,0.8677155,31.716,9.883,13.663,7.689,3.618,-3.039,-3.021,-5.973,1376.389,0.484,773.023,-2.529,0.000,0.000,3,0.441,3,100.000,0.000,0.000,25.164,2,0,18,0,18,5,20
"Valnoctamide",0,0,0,0,1,4,0,0,143.228,0.000,383.736,294.491,89.244,0.000,0.000,616.180,2.000,2.500,0.0000000,0.0092135,0.9125804,15.937,5.139,8.761,8.068,0.663,-0.614,-0.734,-1.572,796.521,-0.392,717.869,-2.780,0.000,0.000,1,-0.724,3,76.485,0.000,31.206,48.324,2,0,0,0,0,0,10
"Clorprenaline",0,1,0,0,0,5,0,2,213.706,0.000,463.621,205.962,38.753,163.976,54.930,762.717,2.000,3.200,0.0000000,0.0097612,0.8707855,22.725,7.517,10.932,7.211,2.152,-1.706,-1.476,-5.131,1059.993,0.455,1165.423,-3.239,0.000,0.000,3,-0.182,3,100.000,0.000,0.000,29.405,2,0,6,0,6,0,14
"Methoxyphenamine",1,1,0,0,0,4,0,2,179.261,0.000,441.801,287.859,4.322,149.620,0.000,723.848,1.000,2.250,0.0000000,0.0050928,0.8824771,21.675,6.239,8.238,4.628,2.466,-1.648,-1.193,-4.873,2248.103,0.684,1313.716,-2.751,0.000,0.000,3,-0.016,3,100.000,0.000,0.000,18.588,2,0,6,0,6,0,13
"Tulobuterol",0,1,0,0,0,5,0,2,227.733,0.000,479.245,226.375,35.136,162.870,54.864,807.244,2.000,2.700,0.0000000,0.0079675,0.8748703,24.497,7.962,11.347,6.724,2.630,-2.084,-1.950,-5.060,1147.114,0.489,1268.249,-3.176,0.000,0.000,3,0.003,3,100.000,0.000,0.000,28.291,2,0,6,0,6,0,15
"Etryptamine",1,1,0,0,0,4,0,1,188.272,0.000,437.216,169.699,59.394,208.123,0.000,717.496,3.000,1.000,0.0000000,0.0039615,0.8865069,21.979,7.458,11.043,7.087,2.071,-1.299,-1.265,-5.087,675.407,0.217,358.105,-3.560,0.000,0.000,3,-0.119,3,96.951,0.000,0.000,35.164,2,0,9,0,9,0,14
"Ethynodiol",0,0,0,0,0,3,0,-1,300.440,0.000,551.482,405.087,83.660,62.735,0.000,1008.266,2.500,2.450,0.0000000,0.0070243,0.8817606,32.870,9.298,15.584,7.455,3.736,-4.595,-4.807,-3.744,1594.239,-0.335,819.004,-2.552,0.000,0.000,4,0.605,3,81.834,0.000,0.000,41.444,2,0,17,0,17,15,22
"Gestodene",0,0,0,0,0,3,0,0,310.435,0.000,559.862,346.721,89.771,123.370,0.000,1028.254,1.500,2.750,0.0000000,0.0060159,0.8800032,34.249,9.719,15.278,6.760,4.004,-4.897,-5.189,-4.062,1395.087,-0.390,709.001,-2.451,0.000,0.000,5,0.724,3,84.238,0.000,0.000,48.092,2,0,17,0,17,12,23
"Norethindrone",0,0,0,0,0,2,0,0,298.424,0.000,549.900,390.038,91.685,68.177,0.000,995.704,1.500,2.750,0.0000000,0.0061248,0.8769356,33.061,9.029,14.777,6.594,3.719,-4.882,-4.903,-3.848,1337.981,-0.352,677.685,-2.777,0.000,0.000,4,0.676,3,80.253,0.000,0.000,49.165,2,0,17,0,17,14,22
"Norethynodrel",0,0,0,0,0,2,1,0,298.424,0.000,552.000,422.529,88.813,40.659,0.000,996.001,1.500,2.750,0.0000000,0.0061015,0.8737744,32.810,8.804,14.570,6.393,3.708,-4.920,-4.903,-3.768,1424.591,-0.333,725.222,-2.821,0.000,0.000,6,0.676,3,79.185,0.000,0.000,49.135,2,0,17,0,17,14,22
"Norgestrel",0,0,0,0,0,3,0,0,312.451,0.000,567.812,413.769,86.370,67.673,0.000,1036.614,1.500,2.750,0.0000000,0.0059316,0.8723794,34.051,9.351,15.006,6.377,4.013,-5.039,-5.237,-3.920,1502.635,-0.374,768.259,-2.585,0.000,0.000,4,0.744,3,81.498,0.000,0.000,47.615,2,0,17,0,17,14,23
"Cyclizine",1,2,0,0,0,3,0,2,266.385,0.000,562.872,216.705,6.565,339.602,0.000,973.516,0.000,4.000,0.0000000,0.0000000,0.8439507,34.123,9.669,12.603,6.707,2.997,-1.862,-1.277,-7.129,533.885,1.118,307.264,-4.281,0.000,0.000,5,0.247,3,100.000,0.000,0.000,9.435,2,0,18,0,18,4,20
"Quinestrol",2,0,0,0,0,4,0,0,364.527,0.000,670.162,510.201,34.478,125.484,0.000,1222.824,1.500,1.500,0.0000000,0.0027413,0.8252033,41.413,11.046,15.955,5.212,6.122,-7.152,-6.987,-4.959,4666.040,-0.015,2614.593,-1.329,0.000,0.000,3,1.438,2,100.000,0.000,0.000,26.931,2,1,22,0,22,16,27
"Melinamide",5,0,0,0,1,16,0,-1,383.616,0.000,919.731,651.567,40.242,227.922,0.000,1591.947,1.000,2.500,0.0000000,0.0027182,0.7168968,49.459,15.861,17.048,6.306,7.647,-8.640,-6.532,-5.825,2414.755,-0.923,2282.009,0.078,0.000,0.000,6,1.503,2,100.000,0.000,29.072,35.879,2,1,6,0,6,0,28
"Probucol",3,0,0,0,0,10,0,0,516.839,0.000,758.563,689.277,15.708,17.431,36.147,1640.803,2.000,2.500,0.0000000,0.0046608,0.8869059,53.256,14.005,22.314,4.969,8.439,-7.475,-10.149,-3.445,7029.774,-0.084,6423.982,-0.787,0.000,0.000,6,2.120,2,95.270,0.000,0.000,24.372,2,2,12,0,12,0,35
"Sobrerol",0,0,0,0,0,3,0,0,170.251,0.000,402.645,295.407,75.106,32.132,0.000,666.510,2.000,2.450,0.0000000,0.0086052,0.9164607,18.900,5.824,9.727,6.098,1.750,-2.133,-1.953,-3.037,1921.633,-0.213,1002.223,-2.502,0.000,0.000,4,-0.226,3,81.935,0.000,0.000,39.936,2,0,6,0,6,4,12
"Eperisone",0,1,0,0,0,5,0,1,259.391,0.000,525.098,389.579,33.896,101.623,0.000,967.618,0.000,4.000,0.0000000,0.0000000,0.9010058,30.330,8.369,11.832,4.742,3.017,-2.040,-2.311,-4.345,1178.594,0.382,653.681,-3.369,0.000,0.000,3,0.145,3,96.276,0.000,0.000,27.225,2,0,12,0,12,5,19
"Thipenamil",0,1,0,0,0,9,1,1,327.484,0.000,675.828,276.531,18.782,350.270,30.245,1179.723,0.000,4.000,0.0000000,0.0000000,0.7989430,38.625,12.009,13.971,5.821,4.912,-4.377,-3.998,-7.182,1639.411,0.298,1367.607,-1.830,0.000,0.000,4,0.591,3,100.000,0.000,0.000,26.634,2,0,12,0,12,0,23
"Tolperisone",0,1,0,0,0,4,0,1,245.364,0.000,534.505,385.153,32.126,117.226,0.000,938.235,0.000,4.000,0.0000000,0.0000000,0.8671373,29.945,8.026,11.365,5.079,2.856,-2.381,-1.963,-4.967,1225.044,0.436,681.571,-3.377,0.000,0.000,3,0.102,3,100.000,0.000,0.000,27.739,2,0,12,0,12,5,18
"Bifemelane",0,1,0,0,0,8,0,1,269.386,0.000,600.211,258.547,23.840,317.824,0.000,1034.550,1.000,2.250,0.0000000,0.0037487,0.8241932,33.147,10.416,12.422,5.404,4.495,-3.864,-3.311,-6.619,1467.995,0.246,828.780,-2.134,0.000,0.000,3,0.658,3,100.000,0.000,0.000,20.143,2,0,12,0,12,0,20
"Tolterodine",0,1,0,0,0,8,0,1,325.493,0.000,635.431,343.360,33.315,258.755,0.000,1174.502,1.000,2.750,0.0000000,0.0043278,0.8472265,38.184,11.424,14.993,5.644,5.056,-4.328,-4.458,-5.964,1193.641,0.170,662.706,-2.516,0.000,0.000,6,0.955,3,100.000,0.000,0.000,22.518,2,1,12,0,12,0,24
"Menadione",0,0,0,0,0,0,0,0,172.183,0.000,385.171,84.929,98.329,201.913,0.000,616.844,0.000,4.000,0.0000000,0.0000000,0.9098339,20.460,6.153,9.417,6.628,0.927,-1.422,-1.356,-3.954,1157.288,-0.228,579.326,-2.620,0.000,0.000,1,-0.661,3,87.198,0.000,0.000,55.720,2,0,10,0,10,0,13
"Quazepam",1,0,0,0,0,1,0,2,386.794,0.000,566.931,71.091,17.147,247.415,231.279,1008.305,0.000,3.000,0.0000000,0.0000000,0.8577542,35.919,9.716,14.264,5.698,5.466,-6.235,-7.168,-5.014,6812.336,0.915,10000.000,-0.868,0.000,0.000,1,0.700,2,100.000,102.563,0.000,26.770,2,1,17,0,12,1,25
"Isobromindione",0,0,0,0,0,0,0,0,301.139,0.000,469.230,0.000,89.944,302.435,76.851,795.390,0.000,4.000,0.0000000,0.0000000,0.8847751,28.566,8.977,12.658,7.484,2.561,-3.350,-4.552,-4.839,1389.830,-0.014,1861.507,-2.112,0.000,0.000,2,-0.143,3,95.633,0.000,0.000,55.607,2,0,15,0,15,1,18
"Betahistine",1,1,0,0,0,3,0,2,136.196,0.000,379.951,165.782,39.536,174.633,0.000,587.750,1.000,2.500,0.0000000,0.0065798,0.8930986,17.109,5.305,7.378,5.356,1.308,-0.656,-0.161,-4.821,1042.036,0.451,572.215,-3.408,0.000,0.000,3,-0.371,3,100.000,0.000,0.000,26.818,2,0,6,0,6,0,10
"Nicotinyl",4,0,0,0,0,2,0,0,109.127,0.000,301.868,54.179,78.436,169.253,0.000,447.330,1.000,3.200,0.0000000,0.0106007,0.9370569,12.080,4.440,6.813,6.306,0.481,-0.595,-0.652,-3.358,1786.856,-0.153,926.465,-2.177,0.000,0.000,2,-0.749,3,89.892,0.000,0.000,34.680,2,0,6,0,6,0,8
"Bencyclane",2,1,0,0,0,7,0,2,289.460,0.000,608.572,430.574,6.396,171.601,0.000,1091.942,0.000,2.750,0.0000000,0.0000000,0.8426605,34.690,9.618,11.921,3.559,4.709,-3.951,-3.672,-5.622,2148.535,0.480,1250.940,-2.423,0.000,0.000,2,0.755,3,100.000,0.000,0.000,9.828,2,0,13,0,6,7,21
"Bendazol",1,0,0,0,0,2,0,1,208.262,0.000,464.834,41.100,34.505,389.228,0.000,757.403,1.000,1.500,0.0000000,0.0032270,0.8644747,26.590,8.364,10.447,6.221,3.566,-3.836,-3.342,-5.581,4663.248,0.135,2612.902,-0.592,0.000,0.000,1,0.286,3,100.000,0.000,0.000,26.348,2,0,15,0,15,0,16
