molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm,logPow
chlorothiazide,1,0,0,0,0,2,0,-2,295.715,7.807,436.253,0,258.501,121.495,56.257,715.648,3,10,0.0851657,0.0397029,0.886937,22.362,8.632,18.816,17.176,-1.477,-1.932,-2.048,-3.941,35.038,-1.61,26.875,-5.664,9.797,1.742,1,-0.896,2,43.571,0,0,126.169,7,0,10,0,10,1,17,-0.24
N-methyl-2-pyridone,3,0,0,0,0,0,0,1,109.127,5.337,300.437,83.895,51.96,164.582,0,448.871,0,3,0.0634645,0,0.9436816,13.382,4.09,6.164,4.87,0.596,-0.34,-0.287,-3.228,3185.414,0.175,1730.664,-1.897,8.69,0.559,1,-0.881,3,95.956,0,0,30.936,2,0,6,0,6,0,8,-0.23
pyrazine,9,0,0,0,0,0,0,1,80.089,0,249.848,0,57.731,192.118,0,350.338,0,3,0,0,0.9619369,9.701,3.406,4.117,4.975,-0.055,0.619,0.433,-3.064,2808.286,0.148,1510.296,-1.907,10.286,0.48,2,-1.167,3,96.328,0,0,26.117,2,0,6,0,6,0,6,-0.23
1;2-DimethoxyethaneTTT,12,0,0,0,0,3,0,-1,90.122,0,285.805,285.805,0,0,0,419.573,0,3.4,0,0,0.9483444,8.711,2.285,3.259,3.094,0.057,0.737,0.737,-2.368,9906.038,-0.79,5899.293,-2.707,10.61,-2.332,2,-1.201,3,100,0,0,17.743,2,0,0,0,0,0,6,-0.21
enoxacin74011-58-8,1,1,0,1,0,2,0,-1,320.323,10.849,566.83,282.832,180.575,73.238,30.185,976.769,1,6.5,0.1204898,0.0114673,0.839924,32.352,9.069,17.321,10.246,-0.223,-3.551,-2.805,-3.39,12.134,-0.791,8.651,-6.46,8.597,0.952,0,-0.219,2,49.329,30.185,0,104.836,7,0,16,0,16,4,23,-0.2
aceticacid,9,0,0,1,0,0,0,-1,60.052,2.413,216.632,95.595,121.037,0,0,284.027,1,2,0.0205047,0.0092322,0.9646035,5.213,1.935,3.766,4.498,-0.038,0.204,-0.136,-0.297,178.528,-0.304,97.717,-3.75,11.433,-0.876,0,-1.038,3,58.959,0,0,53.584,2,0,0,0,0,0,4,-0.17
cefuroxime,2,0,0,1,0,8,2,-2,424.384,6.721,700.379,213.2,307.014,151.136,29.028,1212.867,3.25,11.95,0.0372485,0.0307593,0.7853099,38.692,13.717,25.007,19.297,0.457,-3.826,-3.977,-3.919,3.077,-3.166,1.749,-5.877,8.93,1.619,2,-0.825,1,23.92,0,0,203.871,12,1,13,4,9,3,29,-0.16
ethylamine,10,1,0,0,0,1,0,1,45.084,1.515,218.751,154.806,63.946,0,0,287.088,2,1,0.0079907,0.0064649,0.9621092,4.693,1.764,4.006,4.374,-0.602,1.7,1.34,-2.871,611.508,0.441,321.629,-4.665,9.374,-3.055,2,-0.948,3,82.564,0,0,27.091,1,0,0,0,0,0,3,-0.13
[2.2.2]cryptand,5,2,0,0,0,27,0,1,376.492,1.709,575.893,573.406,2.487,0,0,1163.176,0,14.2,0.0025121,0,0.9287952,23.06,9.28,13.52,9.152,-1.103,2,1.023,-4.136,583.6,-0.286,338.305,-3.098,8.401,-2.507,8,-2.95,3,100,0,0,49.118,8,0,0,0,0,0,26,-0.1
adenine,2,0,0,0,0,1,0,-1,135.128,2.649,302.17,0,170.212,131.958,0,450.076,3,4,0.015587,0.0229282,0.9399505,12.476,5.344,10.587,10.615,-0.623,-0.773,-0.826,-3.133,240.868,-0.781,106.201,-4.096,8.601,0.113,2,-0.748,3,65.455,0,0,79.715,5,0,9,0,9,0,10,-0.09
sulfadiazine68-35-9,0,0,0,0,0,4,0,-2,250.275,7.045,458.526,0,176.264,281.135,1.126,752.901,2.5,7.5,0.0659241,0.0258623,0.8728905,24.094,8.959,16.562,14.101,0.066,-1.914,-2.017,-4.929,211.051,-1.217,93.382,-3.394,9.031,0.5,3,-0.713,3,73.529,0,0,94.198,6,0,12,0,12,0,17,-0.09
imidazole,8,0,0,0,0,0,0,1,68.078,5.222,228.049,0,65.398,162.651,0,309.199,1,2,0.088187,0.0087701,0.9696822,7.773,3.081,5.575,5.254,0.165,0.033,-0.227,-2.798,2375.384,0.1,1260.3,-2.152,9.648,-0.888,0,-0.824,3,92.604,0,0,28.543,2,0,5,0,5,0,5,-0.08
caffeine,1,0,0,0,0,0,0,0,194.193,5.358,397.411,239.473,100.591,57.348,0,644.903,0,5,0.0445172,0,0.9083522,20.203,5.431,9.381,6.675,0.438,-1.13,-1.409,-3.288,1101.531,-0.249,549.216,-3.171,9.015,0.373,0,-0.847,3,77.421,0,0,73.504,6,0,9,0,9,0,14,-0.07
hydrochlorothiazide,0,0,0,0,0,2,0,-2,297.731,9.36,425.483,53.357,246.594,69.935,55.597,718.316,3,9,0.1219679,0.0366371,0.9116464,21.977,8.402,18.559,15.733,-1.089,-1.942,-2.421,-3.295,45.441,-1.399,35.3,-5.626,9.592,1.12,1,-0.754,2,43.139,0,0,126.406,7,0,10,0,10,2,17,-0.07
thioguanine-6,1,0,0,0,0,1,0,-1,167.188,7.93,332.109,0,175.806,82.091,74.213,505.335,4,5,0.1244374,0.0301106,0.9238552,14.211,6.22,14.967,12.861,-0.544,-1.457,-1.023,-3.156,213.174,-0.688,237.316,-4.374,8.285,1.13,0,-0.728,3,60.926,0,0,89.176,5,0,9,0,9,0,11,-0.07
O;N-dimethylcarbamate,8,0,0,0,0,0,0,0,89.094,4.295,286.425,195.378,91.047,0,0,400.729,1,2.5,0.0460247,0.0087283,0.9177444,9.883,2.556,5.777,4.955,0.149,-0.807,-0.466,-2.863,1356.759,-0.157,687.971,-3.197,9.662,-1.036,0,-0.694,3,76.052,0,0,50.738,3,0,0,0,0,0,6,-0.06
AcAlaTyrLeuNH2,0,0,0,0,4,11,0,-2,406.481,9.055,751.93,383.513,245.342,123.076,0,1348.505,3.75,8.5,0.0607982,0.0218906,0.7850354,41.925,14.298,24.767,23.701,-0.257,-1.227,-2.21,-0.1,6.085,-2.754,18.032,-4.551,9.008,-0.226,5,-1.238,2,46.834,0,111.187,172.863,9,1,6,0,6,0,29,-0.04
theophylline,1,0,0,0,0,0,0,-1,180.166,5.098,366.449,157.481,140.937,68.03,0,581.337,1,5,0.044714,0.0136445,0.9192571,17.761,5.451,10.217,8.412,0.062,-1.506,-1.482,-3.163,456.448,-0.548,211.93,-3.877,9.125,0.424,0,-0.625,3,68.407,0,0,86.641,6,0,9,0,9,0,13,-0.02
cefoxitin35607-66-0,1,0,0,1,1,7,1,-2,427.446,6.497,662.172,155.627,294.417,142.985,69.143,1176.218,3.25,9.5,0.0358828,0.0258639,0.8138031,37.789,13.455,23.617,19.799,0.799,-2.93,-4.325,-2.045,1.968,-2.653,3.905,-5.77,9.177,1.914,3,-0.767,1,26.426,0,39.375,180.211,10,0,13,4,9,3,28,-0.02
metronidazole443-48-1,0,0,0,0,0,4,0,-2,171.155,5.565,366.809,142.124,169.782,54.903,0,578.278,1,4.2,0.0535613,0.0114501,0.9151307,14.945,5.488,8.9,6.849,0.12,-1.061,-1.565,-3.167,243.141,-1.029,107.284,-4.071,10.464,0.886,2,-0.685,3,60.637,0,0,82.249,6,0,5,0,5,0,12,-0.02
doxycycline564-25-0,1,1,0,0,0,7,0,-2,444.44,10.992,641.469,214.728,298.454,128.287,0,1205.076,3,9.2,0.1002681,0.0248412,0.8537526,38.804,13.112,24.148,16.077,0.436,-2.475,-4.3,-5.236,3.652,-2.19,1.27,-7.959,9.36,1.008,10,-0.119,2,34.403,0,0,189.725,10,1,18,0,18,6,32,-0.02
t-acrolein,11,0,0,0,0,1,1,-1,56.064,4.115,230.254,94.233,85.111,50.909,0,309.551,0,2,0.0546928,0,0.9611243,6.078,2.09,2.942,2.948,-0.189,0.629,0.536,-2.404,1544.502,-0.111,791.422,-2.813,10.744,0.347,0,-1.061,3,80.729,0,0,38.459,1,0,0,0,0,0,4,-0.01
dimethoxymethane,14,0,0,0,0,2,1,-1,76.095,0.045,235.293,235.293,0,0,0,341.977,0,3.4,0.0000059,0,1.0051252,6.248,2.142,2.513,3.193,-0.511,1.544,1.544,-1.449,9906.038,-0.891,5899.293,-3.133,10.985,-2.828,0,-1.384,3,100,0,0,16.726,2,0,0,0,0,0,5,0
6-mercaptopurine,1,0,0,0,0,1,1,0,152.173,5.191,315.138,0,107.059,130.496,77.583,474.369,1.8,3.5,0.0567968,0.0149006,0.9334156,13.434,5.362,9.53,7.984,0.514,-1.298,-1.342,-3.232,956.453,-0.126,1254.443,-2.937,9.077,1.03,3,-0.67,3,80.539,0,0,54.091,4,0,9,0,9,0,10,0.01
puromycin53-79-2,1,1,0,0,1,10,0,-2,471.515,2.395,789.307,376.413,177.266,235.628,0,1437.257,5,13.35,0.0039894,0.0378199,0.7803249,47.194,15.75,30.153,24.278,0.245,-2.401,-2.356,-5.562,34.782,-1.582,22.173,-5.059,8.61,0.547,10,-0.811,2,70.382,0,21.412,150.807,12,1,20,0,20,4,34,0.03
2-propanol,11,0,0,0,0,1,0,1,60.096,1.95,245.863,197.224,48.638,0,0,338.225,1,1.7,0.0112418,0.0069144,0.9548662,6.74,1.972,3.59,3.56,0.344,-0.113,-0.148,-2.262,3425.007,0.148,1871.784,-2.32,11.057,-3.262,1,-0.782,3,86.243,0,0,22.074,1,0,0,0,0,0,4,0.05
AZT,0,0,0,0,0,3,1,-2,267.244,5.788,440.162,189.962,240.959,9.241,0,776.978,2,9.9,0.0431242,0.0318081,0.9285925,23.103,8.028,16.522,14.499,-1.303,-1.263,-1.56,-2.732,51.391,-1.48,19.997,-5.64,9.389,0.55,4,-0.892,2,40.616,0,0,148.565,9,0,11,0,11,4,19,0.05
minocycline10118-90-8,1,1,0,0,0,7,0,-2,457.482,9.233,698.991,321.743,297.094,80.154,0,1307.854,2,8.5,0.0651819,0.0171974,0.8274333,42.457,13.469,22.965,13.725,1.362,-3.569,-5.044,-5.433,3.762,-2.353,1.311,-8.103,8.913,0.934,9,0.22,2,31.656,0,0,183.004,10,1,18,0,18,6,33,0.05
acetaldehyde,11,0,0,0,0,0,0,-1,44.053,3.597,206.971,121.193,85.778,0,0,267.386,0,2,0.048377,0,0.9697953,4.547,1.318,2.298,2.771,-0.528,0.908,0.833,-2.021,1522.174,-0.045,779.062,-3.1,10.754,-0.705,0,-1.141,3,77.318,0,0,40.19,1,0,0,0,0,0,3,0.06
procarbazine,0,2,0,0,0,5,1,1,221.302,5.336,530.752,316.379,77.925,136.447,0,867.017,3,4.5,0.0328357,0.0146853,0.8284992,26.637,8.295,15.232,10.178,1.078,-0.929,0.138,-6.41,112.393,0.302,57.026,-6.12,8.869,0.301,1,-0.199,3,87.92,0,0,64.731,4,0,6,0,6,0,16,0.06
t-cyclohexane-1;2-diolGgtconf,7,0,0,0,0,2,0,0,116.16,3.299,311.604,222.115,89.489,0,0,474.554,2,3.4,0.0229323,0.0154309,0.9442474,11.553,3.944,7.945,6.915,0.201,-0.756,-0.72,-2.434,1403.713,-0.226,713.741,-2.977,10.783,-2.82,2,-0.699,3,76.426,0,0,42.662,2,0,6,0,6,6,8,0.08
adipicacid,3,0,0,2,0,5,0,-2,146.143,0,360.819,142.819,218.001,0,0,551.123,2,4,0,0.0156778,0.9009646,12.691,5.231,8.811,7.836,0.561,-0.91,-1.093,0.481,5.443,-1.528,2.857,-5.057,11.42,-0.815,2,-1.076,2,25.771,0,0,103.108,4,0,0,0,0,0,10,0.08
Isoxazole,10,0,0,0,0,0,0,1,69.063,3.734,225.576,0,65.214,160.362,0,304.012,0,1.5,0.0458573,0,0.9693175,7.544,2.767,3.187,3.274,0.284,0.294,-0.033,-2.793,2384.953,0.101,1265.788,-2.156,10.394,0.143,0,-0.901,3,92.502,0,0,27.768,2,0,5,0,5,0,5,0.08
terbutaline,0,1,0,0,0,7,0,-1,225.287,1.657,481.987,222.822,152.722,106.444,0,810.024,4,4.2,0.0033877,0.0174278,0.8718888,22.785,8.47,15.146,11.093,0.648,-0.928,-1.035,-4.839,88.012,-0.799,39.573,-5.35,9.001,0.091,5,-0.435,3,68.029,0,0,75.308,4,0,6,0,6,0,16,0.08
dimethylether,13,0,0,0,0,0,0,0,46.069,1.62,198.142,198.142,0,0,0,265.251,0,1.7,0.009898,0,1.0076087,4.461,1.248,1.192,1.87,-0.037,0.883,0.883,-1.409,9906.038,-0.189,5899.293,-2.778,10.733,-2.993,1,-1.067,3,100,0,0,9.365,1,0,0,0,0,0,3,0.1
pirenzepine,0,2,0,0,0,2,0,1,351.407,6.859,628.65,237.867,110.855,279.928,0,1115.299,1,10.5,0.0421848,0.0167025,0.8273391,39.869,11.548,20.87,15.256,0.405,-1.136,-0.659,-7.113,54.76,0.16,26.214,-6.51,9.051,0.984,7,-0.498,3,89.17,0,0,84.231,7,0,21,0,18,4,26,0.1
Oxazole,10,0,0,0,0,0,0,1,69.063,1.814,204.249,0,33.062,171.186,0,282.351,0,2,0.0116596,0,1.0190579,6.781,3.073,2.638,3.57,0.135,0.959,0.213,-2.04,4812.483,0.351,2703.4,-1.526,10.03,-0.163,0,-1.097,3,100,0,0,23.53,2,0,5,0,5,0,5,0.12
p-toluenesulfonamide,0,0,0,0,0,2,0,-1,171.214,4.565,368.142,88.172,137.589,140.132,2.25,573.324,2,4.5,0.0363537,0.0172867,0.9066016,16.844,5.967,10.985,9.415,0.231,-1.446,-1.426,-3.712,491.074,-0.668,235.961,-3.37,10.096,0.6,1,-0.626,3,73.817,0,0,64.043,3,0,6,0,6,0,11,0.13
trimethylamine,12,1,0,0,0,0,0,2,59.111,0.807,252.569,242.019,10.551,0,0,354.28,0,2,0.0018363,0,0.9586993,8.024,1.723,2.465,2.369,0.032,1.263,1.667,-2.926,1962.223,0.885,1134.112,-3.777,9.218,-2.917,1,-0.889,3,95.396,0,0,6.654,1,0,0,0,0,0,4,0.16
propionitrile,10,0,0,0,0,1,0,0,55.079,5.159,240.364,154.345,72.15,13.87,0,321.605,0,1.5,0.0827619,0,0.9444462,6.207,1.659,2.953,2.139,0.18,-0.824,-0.686,-2.497,2049.762,-0.036,1074.644,-2.704,12.092,-1.43,1,-0.892,3,81.479,0,0,25.787,1,0,0,0,0,0,4,0.16
atenolol,0,1,0,0,1,9,0,-2,266.339,9.431,583.439,292.408,152.015,139.016,0,975.084,4,6.45,0.0912169,0.0221103,0.8150752,28.418,10.132,19.372,16.695,0.255,-0.31,-0.604,-4.539,38.83,-1.106,40.239,-5.03,9.163,0.015,4,-0.761,2,70.279,0,45.487,92.772,5,0,6,0,6,0,19,0.16
allylalcohol,10,0,0,0,0,2,0,1,58.08,2.04,239.076,133.578,57.424,48.074,0,323.365,1,1.7,0.0128634,0.0071107,0.9529985,5.962,2.163,3.43,3.71,0.251,0.159,-0.125,-2.522,2827.134,0.021,1521.255,-2.216,10.575,-0.759,1,-0.859,3,87.202,0,0,22.873,1,0,0,0,0,0,4,0.17
methylacetate,10,0,0,0,0,0,1,1,74.079,2.871,264.85,193.28,71.57,0,0,364.334,0,2,0.0226292,0,0.9314622,8.427,1.919,3.154,2.813,0.203,-0.189,0.089,-2.641,2075.896,0.014,1089.461,-2.839,11.201,-0.998,0,-0.859,3,80.732,0,0,39.421,2,0,0,0,0,0,5,0.18
Nitroethane,9,0,0,0,0,1,0,-1,75.067,4.947,245.728,144.019,101.709,0,0,335.072,0,2,0.0730322,0,0.9494451,6.613,2.007,3.359,2.752,-0.197,0.336,0.065,-2.35,1074.975,-0.249,534.919,-3.298,12.1,0.127,0,-0.987,3,73.489,0,0,46.714,3,0,0,0,0,0,5,0.18
tetramethylurea,5,0,0,0,1,0,0,1,116.163,5.067,333.751,295.432,38.318,0,0,510.521,0,2,0.0502981,0,0.9255896,14.277,3.317,5.39,4.675,0.761,-0.635,-0.31,-1.362,2665.434,0.265,2388.009,-2.226,8.955,-1.169,0,-0.757,3,88.723,0,25.975,31.312,3,0,0,0,0,0,8,0.19
methylphenidate,0,1,0,0,0,3,1,1,233.31,2.158,495.444,269.71,54.53,171.204,0,843.711,0,2.5,0.0055173,0,0.8715637,27.32,7.661,9.787,4.248,2.878,-2.589,-2.404,-5.153,751.086,0.303,401.666,-3.696,9.269,-0.203,2,0.271,3,95.762,0,0,44.938,3,0,12,0,12,5,17,0.2
lincomycin154-21-2,0,1,0,0,1,11,0,-2,406.536,2.867,684.358,516.367,155.223,0,12.769,1280.05,5,13.5,0.0064222,0.0441098,0.8331041,38.01,12.417,26.772,22.831,-0.649,-0.575,-0.971,-3.584,48.196,-1.161,43.824,-5.387,9.221,0.082,7,-1.077,2,60.629,0,29.876,116.308,8,0,11,0,11,9,27,0.2
purinylthiovaleryl(gly)3ethyle,4,0,0,0,3,13,1,-2,451.499,13.453,902.633,416.647,325.294,128.739,31.953,1495.206,1.75,10.75,0.1210507,0.0157549,0.7005748,46.566,16.805,25.591,22.844,0.133,-3.203,-3.29,-2.868,1.25,-4.56,4.089,-5.813,9.03,0.945,6,-1.074,1,27.982,0,102.284,202.095,12,1,9,0,9,0,31,0.21
Serotonin,1,1,0,0,0,4,0,-1,176.218,1.594,394.956,79.229,144.745,170.982,0,631.313,4,1.75,0.0040245,0.0088618,0.9011136,18.176,7.245,12.431,9.517,0.426,-0.194,-0.55,-4.674,104.758,-0.467,47.771,-5.263,8.169,0.076,4,-0.542,3,74.068,0,0,63.087,3,0,9,0,9,0,13,0.21
2-methylpyrazine,7,0,0,0,0,0,0,1,94.116,0.634,285.207,91.363,49.906,143.939,0,414.23,0,2.5,0.00097,0,0.9422477,11.798,3.515,4.44,4.186,0.603,-0.313,-0.161,-3.153,3331.538,0.189,1816.633,-1.932,10.147,0.454,3,-0.848,3,95.132,0,0,25.554,2,0,6,0,6,0,7,0.23
nitrofurazone59-87-0,1,0,0,0,1,4,0,-2,198.138,10.246,397.569,23.409,258.234,115.927,0,612.652,3,3.5,0.1713396,0.0152481,0.8774614,16.903,7.021,14.191,13.219,-0.913,-0.227,-1.425,-2.693,16.6,-1.914,13.302,-5.486,9.304,1.419,0,-0.924,2,43.279,0,41.074,134.038,8,0,5,0,5,0,14,0.23
sotalol3930-20-9,0,1,0,0,0,7,0,-1,272.362,7.998,551.608,294.023,135.271,120.935,1.38,924.279,3,7.7,0.0692005,0.024178,0.8318973,27.496,9.198,17.978,13.224,0.432,-1.497,-1.133,-5.555,128.833,-0.76,60.79,-4.977,8.826,0.218,2,-0.561,3,73.148,0,0,78.789,5,0,6,0,6,0,18,0.24
1-propanol,11,0,0,0,0,2,0,1,60.096,1.937,248.303,192.034,56.269,0,0,340.694,1,1.7,0.0110088,0.0068465,0.9500788,6.196,1.991,3.395,3.397,0.304,0.01,-0.148,-2.34,2899.366,0.027,1563.309,-2.365,10.896,-3.127,1,-0.82,3,84.409,0,0,23.05,1,0,0,0,0,0,4,0.25
pyrazole,9,0,0,0,0,0,0,1,68.078,3.071,228.159,0,72.047,156.112,0,309.382,1,1.5,0.0304762,0.0065744,0.969594,7.718,3.083,4.517,4.762,0.259,-0.011,-0.273,-2.768,2054.358,0.053,1077.249,-2.297,9.689,-0.647,0,-0.785,3,90.588,0,0,31.101,2,0,5,0,5,0,5,0.26
RANITIDINE,0,1,0,0,0,10,0,0,314.402,11.634,648.827,396.256,114.897,103.774,33.899,1090.106,2,6,0.1241651,0.0130779,0.789494,32.042,10.554,17.759,9.413,2.394,-3.175,-2.75,-6.159,201.017,-0.786,148.185,-4.374,8.939,0.664,3,-0.049,3,76.948,0,0,79.226,7,0,5,0,5,0,21,0.27
pefloxacin70458-92-3,0,1,0,1,0,2,0,0,333.362,10.695,597.807,340.006,155.489,68.016,34.297,1045.111,0,6.5,0.1094481,0,0.8331288,35.037,9.252,16.537,8.651,0.197,-3.411,-2.911,-3.475,20.984,-0.568,16.471,-6.016,8.707,0.982,2,-0.333,2,55.024,34.297,0,89.91,6,0,16,0,16,4,24,0.27
PNU179398,1,0,0,0,0,2,0,-2,385.471,12.531,631.29,242.992,181.633,91.424,115.241,1112.227,3,10,0.1411847,0.0274367,0.8223666,37.946,11.596,24.79,19.439,1.288,-3.359,-2.599,-4.842,7.473,-1.065,347.02,-4.353,8.83,0.717,2,-0.277,2,60.122,26.326,0,106.461,6,0,17,0,17,7,25,0.28
ciprofloxacin85721-33-1,1,1,0,1,0,1,0,0,331.346,11.265,574.159,291.569,178.366,69.486,34.738,1009.966,1,6,0.1256578,0.0104501,0.847885,34.286,9.343,17.874,9.953,0.22,-4.033,-3.265,-3.243,12.734,-0.667,9.653,-6.529,8.697,0.981,0,0.01,2,49.62,34.738,0,99.075,6,0,19,3,16,7,24,0.28
butanone,8,0,0,0,0,1,1,1,72.107,3.748,271.695,222.937,48.758,0,0,385.704,0,2,0.0364232,0,0.9431621,8.64,2.167,3.284,2.454,0.5,-0.156,0.138,-2.452,3416.068,0.138,1866.504,-2.322,10.671,-0.768,1,-0.84,3,86.214,0,0,28.831,1,0,0,0,0,0,5,0.29
thalidomide50-35-1,0,0,0,0,0,0,0,-1,258.233,6.557,440.543,83.082,185.509,171.952,0,755.276,1,6,0.0569286,0.0136196,0.9104313,25.714,8.203,14.107,10.585,0.522,-2.384,-2.8,-3.801,172.471,-0.929,74.017,-4.333,10.4,1.589,2,-0.388,3,64.334,0,0,124.569,6,0,15,0,15,3,19,0.33
captopril,0,0,0,1,1,4,1,-1,217.282,8.211,430.85,264.716,102.422,0,63.712,720.436,1,4.5,0.0935864,0.0104445,0.9020609,20.109,6.439,11.301,7.75,1.391,-1.731,-1.812,0.065,196.189,-0.36,338.68,-3.023,8.903,-0.499,3,-0.879,3,63.432,0,17.03,71.018,4,0,5,0,5,4,14,0.34
t-Butanol,11,0,0,0,0,1,0,1,74.122,1.907,270.244,228.983,41.261,0,0,392.94,1,0.75,0.0092522,0.0027753,0.9600488,8.929,2.643,3.777,2.633,1.031,-0.659,-0.467,-2.178,4023.647,0.205,2227.781,-2.184,11.197,-3.252,1,-0.549,3,88.016,0,0,20.95,1,0,0,0,0,0,5,0.35
antipyrine,0,0,0,0,0,0,1,1,188.229,7.456,422.725,143.245,53.3,226.18,0,689.709,0,4,0.0805938,0,0.893067,23.608,6.624,10.539,6.577,1.743,-2.133,-1.754,-4.341,3093.524,0.118,1676.765,-1.705,8.286,0.246,1,-0.45,3,100,0,0,35.304,3,0,11,0,11,0,14,0.38
cimetidine(Tagamet),1,0,0,0,0,7,0,-2,252.337,14.878,549.82,273.778,164.619,85.07,26.353,898.729,3,5.5,0.2462822,0.0173262,0.8191509,26.131,9.027,18.905,11.017,1.41,-3.259,-2.622,-4.864,272.157,-1.429,168.973,-3.582,8.826,0.045,2,-0.344,3,63.805,0,0,96.666,6,0,5,0,5,0,17,0.4
2;2;2-trifluoroethanol,11,0,0,0,0,1,0,1,100.04,2.236,236.756,56.512,53.104,0,127.141,320.497,1,0,0.0155973,0,0.9566338,6.03,0.983,3.144,1.939,1.204,-0.694,-1.202,-2.234,3106.806,0.428,8374.513,-2.402,12.149,-1.114,1,-0.679,3,85.17,127.141,0,22.865,1,0,0,0,0,0,6,0.41
Thiazole,10,0,0,0,0,0,0,2,85.123,1.2,241.3,0,30.841,153.315,57.144,334.384,0,1.5,0.0043066,0,0.9655417,8.692,3.201,3.109,3.05,0.93,-0.254,-0.431,-2.821,5051.625,0.483,5857.468,-1.548,10.107,0.664,0,-0.813,3,100,0,0,13.75,1,0,5,0,5,0,5,0.44
tetrahydrofuran,11,0,0,0,0,0,0,0,72.107,2.045,237.356,237.356,0,0,0,340.504,0,1.7,0.0122857,0,0.993526,7.473,1.962,2.247,1.965,0.404,0.099,0.099,-1.637,9906.038,-0.11,5899.293,-2.447,10.299,-3.107,1,-0.848,3,100,0,0,9.497,1,0,5,0,5,4,5,0.46
pyrrolidine(equatorial),12,1,0,0,0,0,0,2,71.122,1.129,258.39,224.22,34.17,0,0,365.393,1,1.5,0.00349,0.0058052,0.9565969,8.469,2.223,3.94,3.515,0.143,0.713,0.884,-2.96,1171.551,0.713,649.46,-4.212,9.198,-2.966,0,-0.656,3,89.719,0,0,16.35,1,0,5,0,5,4,5,0.46
2-aminopyridine,6,0,0,0,0,1,0,0,94.116,2.361,273.896,0,85.646,188.25,0,393.965,2,1.5,0.0141447,0.007745,0.9488938,10.768,4.379,6.857,6.427,0.506,-0.43,-0.594,-3.257,1526.569,-0.131,781.494,-2.339,8.352,-0.23,2,-0.716,3,89.373,0,0,37.795,2,0,6,0,6,0,7,0.48
PNU100766linezolid,0,0,0,0,1,2,0,-1,337.35,9.153,581.416,359.227,104.759,83.346,34.085,1025.983,1,8.7,0.0816543,0.0149635,0.8461315,34.418,9.076,18.393,13.659,0.993,-2.856,-2.856,-3.045,667.298,-0.449,765.142,-2.965,8.684,0.41,1,-0.673,3,78.08,34.085,22.381,92.386,7,0,17,0,17,6,24,0.48
linezolid,0,0,0,0,1,2,0,-1,337.35,1.879,592.637,362.894,112.59,88.588,28.565,1035.269,1,8.7,0.00341,0.0146802,0.8351128,34.839,9.267,17.452,14.776,0.971,-2.568,-2.856,-3.248,438.652,-0.563,593.24,-3.09,8.951,0.631,1,-0.658,3,76.533,28.565,35.941,93.278,7,0,17,0,17,6,24,0.48
tetramethylthiourea,4,0,0,0,0,0,0,2,132.223,6.511,343.607,283.577,9.74,0,50.289,534.176,0,2.5,0.0793577,0,0.9266017,15.224,3.741,6.5,3.092,1.687,-1.639,-1.105,-2.72,8008.16,0.611,8839.835,-1.699,8.249,0.14,0,-0.5,3,95.59,0,0,14.916,2,0,0,0,0,0,8,0.49
methylphenylsulfone,1,0,0,0,0,1,0,0,156.199,5.949,348.348,80.347,77.868,190.133,0,542.946,0,4,0.0651918,0,0.9239662,16.748,5.274,8.008,6.1,0.573,-0.561,-0.96,-3.669,1809.156,-0.105,938.969,-2.189,10.119,0.577,0,-0.918,3,91.362,0,0,37.19,2,0,6,0,6,0,10,0.5
fluconazole,0,0,0,0,0,6,0,0,306.274,4.781,514.83,46.548,116.422,275.966,75.893,898.428,1,6.75,0.0254438,0.0131111,0.8746287,28.584,9.125,15.026,10.443,1.958,-2.702,-3.588,-4.877,779.591,-0.626,984.496,-2.117,10.373,0.974,1,-0.45,3,87.579,75.893,0,72.917,7,0,16,0,16,0,22,0.5
acetaminophen,0,0,0,0,0,2,0,0,151.165,3.719,370.672,94.25,110.826,165.596,0,568.514,2,3.25,0.0243286,0.0123996,0.8953707,16.895,5.781,10.037,8.181,0.798,-1.65,-1.361,-4.015,880.924,-0.479,431.355,-2.787,8.474,-0.024,1,-0.518,3,81.875,0,0,60.687,3,0,6,0,6,0,11,0.51
Z-3-penten-2-one,7,0,0,0,0,1,1,1,84.118,3.909,297.734,220.045,53.821,23.868,0,429.707,0,2,0.0355593,0,0.9249496,10.629,2.667,3.998,2.713,0.78,-0.649,-0.16,-2.86,3058.547,0.084,1656.283,-2.331,10.456,0.139,1,-0.712,3,86.522,0,0,29.316,1,0,0,0,0,0,6,0.52
phenylphosphonicacid,1,0,0,2,0,3,0,-1,158.093,2.214,339.462,0,140.898,196.82,1.744,519.57,2,5,0.0094352,0.0208302,0.9207389,14.593,5.942,10.196,10.026,0.867,-0.83,-1.061,-0.138,29.306,-0.721,18.02,-3.135,9.775,0.095,0,-1.127,2,56.871,0,0,63.901,3,0,6,0,6,0,10,0.54
